Treatment,Date,Temp,Days
Control,3/15/21,27.5,1
Control,3/16/21,27.5,2
Control,3/17/21,27.5,3
Control,3/18/21,27.5,4
Control,3/19/21,27.5,5
Control,3/20/21,27.5,6
Control,3/21/21,27.5,7
Control,3/22/21,27.5,8
Control,3/23/21,27.5,9
Control,3/24/21,27.5,10
Control,3/25/21,27.5,11
Control,3/26/21,27.5,12
Control,3/27/21,27.5,13
Control,3/28/21,27.5,14
Control,3/29/21,27.5,15
Control,3/30/21,27.5,16
Control,3/31/21,27.5,17
Control,4/1/21,27.5,18
Control,4/2/21,27.5,19
Control,4/3/21,27.5,20
Control,4/4/21,27.5,21
Control,4/5/21,27.5,22
Control,4/6/21,27.5,23
Control,4/7/21,27.5,24
Control,4/8/21,27.5,25
Control,4/9/21,27.5,26
Control,4/10/21,27.5,27
Control,4/11/21,27.5,28
Control,4/12/21,27.5,29
Control,4/13/21,27.5,30
Control,4/14/21,27.5,31
Control,4/15/21,27.5,32
Control,4/16/21,27.5,33
Control,4/17/21,27.5,34
Control,4/18/21,27.5,35
Control,4/19/21,27.5,36
Control,4/20/21,27.5,37
Control,4/21/21,27.5,38
Control,4/22/21,27.5,39
Control,4/23/21,27.5,40
Control,4/24/21,27.5,41
Control,4/25/21,27.5,42
Control,4/26/21,27.5,43
Control,4/27/21,27.5,44
Control,4/28/21,27.5,45
Control,4/29/21,27.5,46
Control,4/30/21,27.5,47
Control,5/1/21,27.5,48
Control,5/2/21,27.5,49
Control,5/3/21,27.5,50
Control,5/4/21,27.5,51
Control,5/5/21,27.5,52
Control,5/6/21,27.5,53
Control,5/7/21,27.5,54
Control,5/8/21,27.5,55
Control,5/9/21,27.5,56
Control,5/10/21,27.5,57
Control,5/11/21,27.5,58
Control,5/12/21,27.5,59
Control,5/13/21,27.5,60
Control,5/14/21,27.5,61
Control,5/15/21,27.5,62
Control,5/16/21,27.5,63
Control,5/17/21,27.5,64
Control,5/18/21,27.5,65
OW,3/15/21,27.5,1
OW,3/16/21,27.5,2
OW,3/17/21,27.5,3
OW,3/18/21,27.5,4
OW,3/19/21,27.5,5
OW,3/20/21,27.5,6
OW,3/21/21,27.5,7
OW,3/22/21,27.5,8
OW,3/23/21,28,9
OW,3/24/21,28.5,10
OW,3/25/21,29,11
OW,3/26/21,29.5,12
OW,3/27/21,30,13
OW,3/28/21,30.5,14
OW,3/29/21,30.5,15
OW,3/30/21,30.5,16
OW,3/31/21,30.5,17
OW,4/1/21,30.5,18
OW,4/2/21,30.5,19
OW,4/3/21,30.5,20
OW,4/4/21,30.5,21
OW,4/5/21,30.5,22
OW,4/6/21,30.5,23
OW,4/7/21,30.5,24
OW,4/8/21,30.5,25
OW,4/9/21,30.5,26
OW,4/10/21,30.5,27
OW,4/11/21,30.5,28
OW,4/12/21,30.5,29
OW,4/13/21,30.5,30
OW,4/14/21,30.5,31
OW,4/15/21,30.5,32
OW,4/16/21,30.5,33
OW,4/17/21,30.5,34
OW,4/18/21,30.5,35
OW,4/19/21,30.5,36
OW,4/20/21,30.5,37
OW,4/21/21,30.5,38
OW,4/22/21,30.5,39
OW,4/23/21,30.5,40
OW,4/24/21,30.5,41
OW,4/25/21,30.5,42
OW,4/26/21,30.5,43
OW,4/27/21,30.5,44
OW,4/28/21,30.5,45
OW,4/29/21,31,46
OW,4/30/21,31.5,47
OW,5/1/21,31.5,48
OW,5/2/21,31.5,49
OW,5/3/21,31.5,50
OW,5/4/21,31.5,51
OW,5/5/21,31.5,52
OW,5/6/21,31.5,53
OW,5/7/21,31.5,54
OW,5/8/21,31.5,55
OW,5/9/21,31.5,56
OW,5/10/21,31.5,57
OW,5/11/21,31.5,58
OW,5/12/21,31.5,59
OW,5/13/21,31.5,60
OW,5/14/21,31.5,61
OW,5/15/21,31.5,62
OW,5/16/21,31.5,63
OW,5/17/21,31.5,64
OW,5/18/21,31.5,65