Exp,Experiment,Genotype,Tank,Treatment,Region,deltFvFm,deltHP,deltChl,HP,TotalChl
CBASS-34.3,CBASS,LK31,C18,34.3,Lower Keys,-0.308,-0.356,-0.232,39.099,8.409
CBASS-34.3,CBASS,LK41,C18,34.3,Lower Keys,-0.214,-0.426,-0.516,48.019,4.093
CBASS-34.3,CBASS,LK50,C18,34.3,Lower Keys,-0.343,-0.274,-0.521,26.550,5.244
CBASS-34.3,CBASS,LK62,C18,34.3,Lower Keys,-0.311,-0.531,-0.353,25.914,5.378
CBASS-34.3,CBASS,LK7,C18,34.3,Lower Keys,-0.137,0.354,-0.406,37.758,8.250
CBASS-34.3,CBASS,UK12,C18,34.3,Upper Keys,-0.215,-0.618,-0.744,23.442,3.750
CBASS-34.3,CBASS,UK19,C18,34.3,Upper Keys,-0.204,-0.181,-0.248,32.502,7.332
CBASS-34.3,CBASS,UK70,C18,34.3,Upper Keys,-0.157,-0.563,-0.203,34.330,9.816
CBASS-34.3,CBASS,UK76,C18,34.3,Upper Keys,-0.145,0.007,-0.015,28.322,7.848
CBASS-34.3,CBASS,UK80,C18,34.3,Upper Keys,-0.256,-0.388,-0.259,18.677,8.870
CBASS-34.3,CBASS,LK31,C5,34.3,Lower Keys,-0.371,NA,NA,NA,NA
CBASS-34.3,CBASS,LK41,C5,34.3,Lower Keys,-0.320,NA,NA,NA,NA
CBASS-34.3,CBASS,LK50,C5,34.3,Lower Keys,-0.276,NA,NA,NA,NA
CBASS-34.3,CBASS,LK62,C5,34.3,Lower Keys,-0.371,NA,NA,NA,NA
CBASS-34.3,CBASS,LK7,C5,34.3,Lower Keys,-0.263,NA,NA,NA,NA
CBASS-34.3,CBASS,UK12,C5,34.3,Upper Keys,-0.161,NA,NA,NA,NA
CBASS-34.3,CBASS,UK19,C5,34.3,Upper Keys,-0.190,NA,NA,NA,NA
CBASS-34.3,CBASS,UK70,C5,34.3,Upper Keys,-0.323,NA,NA,NA,NA
CBASS-34.3,CBASS,UK76,C5,34.3,Upper Keys,-0.299,NA,NA,NA,NA
CBASS-34.3,CBASS,UK80,C5,34.3,Upper Keys,-0.349,NA,NA,NA,NA
CBASS-34.3,CBASS,LK31,C9,34.3,Lower Keys,-0.422,-0.259,-0.347,44.991,7.153
CBASS-34.3,CBASS,LK41,C9,34.3,Lower Keys,-0.223,0.039,-0.438,86.963,4.758
CBASS-34.3,CBASS,LK50,C9,34.3,Lower Keys,-0.404,-0.006,-0.450,36.358,6.022
CBASS-34.3,CBASS,LK62,C9,34.3,Lower Keys,-0.302,-0.222,-0.692,42.969,2.563
CBASS-34.3,CBASS,LK7,C9,34.3,Lower Keys,-0.288,0.961,-0.510,54.685,6.801
CBASS-34.3,CBASS,UK12,C9,34.3,Upper Keys,-0.281,-0.795,-0.897,12.600,1.513
CBASS-34.3,CBASS,UK19,C9,34.3,Upper Keys,-0.278,0.418,-0.605,56.304,3.857
CBASS-34.3,CBASS,UK70,C9,34.3,Upper Keys,-0.289,0.130,-0.320,88.713,8.374
CBASS-34.3,CBASS,UK76,C9,34.3,Upper Keys,-0.346,1.501,-0.548,70.357,3.603
CBASS-34.3,CBASS,UK80,C9,34.3,Upper Keys,-0.343,-0.107,-0.456,27.255,6.517
LT-OW,LT,LK31,L11,OW,Lower Keys,0.022,NA,NA,,
LT-OW,LT,LK41,L11,OW,Lower Keys,-0.073,NA,-0.837,,1.995
LT-OW,LT,LK50,L11,OW,Lower Keys,0.009,0.487,-0.801,71.804,2.746
LT-OW,LT,LK62,L11,OW,Lower Keys,-0.019,-0.839,-0.735,6.021,3.209
LT-OW,LT,LK7,L11,OW,Lower Keys,0.024,NA,NA,NA,NA
LT-OW,LT,UK12,L11,OW,Upper Keys,-0.128,-0.579,-0.968,17.136,0.416
LT-OW,LT,UK19,L11,OW,Upper Keys,0.007,NA,NA,NA,NA
LT-OW,LT,UK70,L11,OW,Upper Keys,-0.071,NA,NA,NA,NA
LT-OW,LT,UK76,L11,OW,Upper Keys,#VALUE!,NA,NA,,
LT-OW,LT,UK80,L11,OW,Upper Keys,-0.064,NA,NA,NA,NA
LT-OW,LT,LK31,L14,OW,Lower Keys,-0.084,NA,NA,NA,NA
LT-OW,LT,LK41,L14,OW,Lower Keys,-0.120,NA,NA,NA,NA
LT-OW,LT,LK50,L14,OW,Lower Keys,-0.078,-0.334,-0.830,32.173,2.344
LT-OW,LT,LK62,L14,OW,Lower Keys,-0.070,NA,NA,NA,NA
LT-OW,LT,LK7,L14,OW,Lower Keys,-0.011,-0.617,-0.889,17.751,1.542
LT-OW,LT,UK12,L14,OW,Upper Keys,-0.193,NA,NA,0.000,0.000
LT-OW,LT,UK19,L14,OW,Upper Keys,-0.056,NA,NA,NA,NA
LT-OW,LT,UK70,L14,OW,Upper Keys,-0.100,0.131,-0.924,35.621,1.053
LT-OW,LT,UK76,L14,OW,Upper Keys,-0.037,-0.821,-0.959,10.211,0.496
LT-OW,LT,UK80,L14,OW,Upper Keys,-0.088,NA,NA,NA,NA
LT-OW,LT,LK31,L15,OW,Lower Keys,-0.030,0.346,-0.918,50.078,0.582
LT-OW,LT,LK41,L15,OW,Lower Keys,-0.138,NA,NA,,
LT-OW,LT,LK50,L15,OW,Lower Keys,-0.016,-0.766,-0.891,11.287,1.507
LT-OW,LT,LK62,L15,OW,Lower Keys,-0.008,-0.334,-0.921,24.829,0.961
LT-OW,LT,LK7,L15,OW,Lower Keys,-0.081,NA,NA,NA,NA
LT-OW,LT,UK12,L15,OW,Upper Keys,-0.130,-0.843,-0.991,6.366,0.122
LT-OW,LT,UK19,L15,OW,Upper Keys,-0.069,NA,NA,NA,NA
LT-OW,LT,UK70,L15,OW,Upper Keys,-0.099,-0.122,-0.954,27.657,0.642
LT-OW,LT,UK76,L15,OW,Upper Keys,-0.172,NA,NA,NA,NA
LT-OW,LT,UK80,L15,OW,Upper Keys,-0.110,-0.466,-0.968,22.137,0.474
LT-OW,LT,LK31,L17,OW,Lower Keys,-0.029,-0.712,-0.878,10.718,0.867
LT-OW,LT,LK41,L17,OW,Lower Keys,-0.125,-0.629,-0.953,23.716,0.577
LT-OW,LT,LK50,L17,OW,Lower Keys,-0.059,-0.468,-0.850,25.681,2.072
LT-OW,LT,LK62,L17,OW,Lower Keys,-0.017,-0.645,-0.907,13.253,1.129
LT-OW,LT,LK7,L17,OW,Lower Keys,-0.026,-0.410,-0.838,27.371,2.240
LT-OW,LT,UK12,L17,OW,Upper Keys,-0.252,NA,NA,0.000,0.000
LT-OW,LT,UK19,L17,OW,Upper Keys,-0.105,-0.798,-0.946,7.933,0.621
LT-OW,LT,UK70,L17,OW,Upper Keys,-0.128,0.090,-0.952,34.338,0.666
LT-OW,LT,UK76,L17,OW,Upper Keys,-0.162,-0.504,-0.944,28.241,0.671
LT-OW,LT,UK80,L17,OW,Upper Keys,-0.113,-0.567,-0.951,17.934,0.724
LT-OW,LT,LK31,L19,OW,Lower Keys,0.017,-0.421,-0.911,21.558,0.630
LT-OW,LT,LK41,L19,OW,Lower Keys,-0.196,-0.903,-0.942,6.208,0.715
LT-OW,LT,LK50,L19,OW,Lower Keys,-0.005,-0.559,-0.897,21.270,1.423
LT-OW,LT,LK62,L19,OW,Lower Keys,0.007,-0.437,-0.872,20.992,1.549
LT-OW,LT,LK7,L19,OW,Lower Keys,-0.121,-0.678,-0.969,14.948,0.424
LT-OW,LT,UK12,L19,OW,Upper Keys,-0.234,NA,NA,0.000,0.000
LT-OW,LT,UK19,L19,OW,Upper Keys,-0.072,-0.660,-0.976,13.373,0.280
LT-OW,LT,UK70,L19,OW,Upper Keys,-0.096,-0.445,NA,17.497,
LT-OW,LT,UK76,L19,OW,Upper Keys,-0.140,-0.852,-0.948,8.405,0.626
LT-OW,LT,UK80,L19,OW,Upper Keys,-0.129,-0.930,-0.981,2.919,0.274